p_id,rule,experiment,balance,conform
135,"else_(balance_(x, 4), get_(x, 7))",2B,1.0,0.0
136,"else_(conform_(x, 3), invert_(get_(x, 0)))",2B,0.0,1.0
137,"else_(balance_(x, 2), else_(streak_(x, 5), else_(balance_(x, 3), '1')))",2B,1.0,0.0
138,"else_(balance_(x, 2), '1')",2B,1.0,0.0
139,"else_(streak_(x, 1), else_(balance_(x, 3), '1'))",2B,0.7,0.0
140,"else_(balance_(x, 4), invert_(get_(x, 7)))",2B,1.0,0.0
141,"else_(streak_(x, 1), else_(balance_(x, 2), get_(x, 0)))",2B,0.7,0.0
142,"else_(balance_(x, 4), invert_(get_(x, 7)))",2B,1.0,0.0
143,"else_(balance_(x, 4), else_(patternCont_(x), invert_(get_(x, 0))))",2B,1.0,0.0
144,"invert_(get_(x, 7))",2B,0.0,0.0
145,"else_(conform_(x, 4), invert_(get_(x, 0)))",2B,0.0,1.0
146,"else_(balance_(x, 3), invert_(get_(x, 7)))",2B,1.0,0.0
147,"else_(balance_(x, 4), invert_(get_(x, 7)))",2B,1.0,0.0
148,"else_(patternCont_(x), else_(balance_(x, 2), '1'))",2B,0.7,0.0
149,"else_(balance_(x, 4), else_(patternCont_(x), get_(x, 7)))",2B,1.0,0.0
150,"get_(x, 7)",2B,0.0,0.0
151,'0',2B,0.0,0.0
152,"else_(patternCont_(x), else_(balance_(x, 4), '0'))",2B,0.7,0.0
153,"else_(conform_(x, 2), invert_(get_(x, 7)))",2B,0.0,1.0
154,"else_(streak_(x, 4), else_(balance_(x, 4), invert_(get_(x, 7))))",2B,0.7,0.0
155,"else_(conform_(x, 3), else_(patternCont_(x), '1'))",2B,0.0,1.0
156,"else_(patternCont_(x), else_(conform_(x, 2), '0'))",2B,0.0,0.7
157,"else_(conform_(x, 3), invert_(get_(x, 7)))",2B,0.0,1.0
158,'1',2B,0.0,0.0
159,"else_(streak_(x, 3), else_(balance_(x, 4), '0'))",2B,0.7,0.0
160,"else_(balance_(x, 2), get_(x, 0))",2B,1.0,0.0
161,"else_(balance_(x, 4), '1')",2B,1.0,0.0
162,"else_(balance_(x, 2), else_(conform_(x, 3), else_(balance_(x, 4), get_(x, 0))))",2B,1.0,0.7
163,"else_(balance_(x, 4), invert_(get_(x, 7)))",2B,1.0,0.0
164,"else_(conform_(x, 3), invert_(get_(x, 7)))",2B,0.0,1.0
165,"else_(streak_(x, 4), else_(balance_(x, 4), '1'))",2B,0.7,0.0
166,"else_(streak_(x, 3), else_(balance_(x, 3), invert_(get_(x, 7))))",2B,0.7,0.0
167,"else_(balance_(x, 2), '0')",2B,1.0,0.0
168,"else_(balance_(x, 4), else_(streak_(x, 6), invert_(get_(x, 7))))",2B,1.0,0.0
169,"else_(conform_(x, 2), else_(patternCont_(x), invert_(get_(x, 0))))",2B,0.0,1.0
170,"else_(streak_(x, 2), invert_(get_(x, 7)))",2B,0.0,0.0
171,"else_(conform_(x, 2), get_(x, 0))",2B,0.0,1.0
172,"invert_(get_(x, 7))",2B,0.0,0.0
173,"else_(balance_(x, 4), invert_(get_(x, 7)))",2B,1.0,0.0
174,"else_(conform_(x, 4), get_(x, 7))",2B,0.0,1.0
175,"else_(balance_(x, 4), get_(x, 0))",2B,1.0,0.0
176,"else_(streak_(x, 3), else_(balance_(x, 4), '0'))",2B,0.7,0.0
177,"else_(streak_(x, 2), else_(balance_(x, 2), else_(conform_(x, 4), '0')))",2B,0.7,0.48999999999999994
178,"else_(conform_(x, 3), else_(streak_(x, 6), else_(balance_(x, 4), get_(x, 7))))",2B,0.48999999999999994,1.0
179,"invert_(get_(x, 7))",2B,0.0,0.0
180,"else_(conform_(x, 2), else_(streak_(x, 6), '0'))",2B,0.0,1.0
181,"else_(conform_(x, 2), invert_(get_(x, 7)))",2B,0.0,1.0
182,"else_(streak_(x, 2), else_(balance_(x, 2), else_(conform_(x, 4), '0')))",2B,0.7,0.48999999999999994
183,"else_(balance_(x, 4), invert_(get_(x, 7)))",2B,1.0,0.0
184,'1',2B,0.0,0.0
185,'1',2B,0.0,0.0
186,"else_(balance_(x, 4), else_(patternCont_(x), invert_(get_(x, 0))))",2B,1.0,0.0
187,"else_(patternCont_(x), '1')",2B,0.0,0.0
188,"else_(balance_(x, 2), else_(conform_(x, 3), else_(patternCont_(x), invert_(get_(x, 0)))))",2B,1.0,0.7
189,"invert_(get_(x, 0))",2B,0.0,0.0
190,"else_(balance_(x, 4), invert_(get_(x, 7)))",2B,1.0,0.0
191,"else_(balance_(x, 4), '1')",2B,1.0,0.0
192,"else_(streak_(x, 6), '0')",2B,0.0,0.0
193,"else_(balance_(x, 4), get_(x, 0))",2B,1.0,0.0
194,'1',2B,0.0,0.0
195,"else_(conform_(x, 2), '1')",2B,0.0,1.0
196,"else_(conform_(x, 3), else_(balance_(x, 4), get_(x, 0)))",2B,0.7,1.0
197,"else_(conform_(x, 2), invert_(get_(x, 7)))",2B,0.0,1.0
198,"else_(balance_(x, 4), invert_(get_(x, 7)))",2B,1.0,0.0
199,"else_(streak_(x, 1), else_(balance_(x, 4), '0'))",2B,0.7,0.0
200,"invert_(get_(x, 7))",2B,0.0,0.0
201,"else_(balance_(x, 4), else_(patternCont_(x), invert_(get_(x, 0))))",2B,1.0,0.0
202,"else_(balance_(x, 3), else_(conform_(x, 4), invert_(get_(x, 7))))",2B,1.0,0.7
203,"else_(balance_(x, 4), get_(x, 0))",2B,1.0,0.0
204,"else_(balance_(x, 3), '1')",2B,1.0,0.0
205,"else_(balance_(x, 4), '1')",2B,1.0,0.0
206,"else_(balance_(x, 4), get_(x, 7))",2B,1.0,0.0
207,"invert_(get_(x, 7))",2B,0.0,0.0
208,'1',2B,0.0,0.0
209,"else_(patternCont_(x), else_(conform_(x, 4), '0'))",2B,0.0,0.7
210,"invert_(get_(x, 7))",2B,0.0,0.0
211,"else_(patternCont_(x), else_(balance_(x, 3), else_(streak_(x, 6), invert_(get_(x, 0)))))",2B,0.7,0.0
212,"invert_(get_(x, 0))",2B,0.0,0.0
213,"else_(balance_(x, 3), else_(streak_(x, 6), invert_(get_(x, 7))))",2B,1.0,0.0
214,"get_(x, 0)",2B,0.0,0.0
215,"else_(streak_(x, 6), else_(patternCont_(x), else_(conform_(x, 3), invert_(get_(x, 0)))))",2B,0.0,0.48999999999999994
216,"invert_(get_(x, 7))",2B,0.0,0.0
217,"else_(conform_(x, 3), invert_(get_(x, 7)))",2B,0.0,1.0
218,"else_(balance_(x, 2), else_(conform_(x, 4), invert_(get_(x, 7))))",2B,1.0,0.7
219,"else_(balance_(x, 3), else_(streak_(x, 6), else_(balance_(x, 4), invert_(get_(x, 7)))))",2B,1.0,0.0
220,"else_(balance_(x, 4), invert_(get_(x, 7)))",2B,1.0,0.0
221,"else_(conform_(x, 4), else_(patternCont_(x), invert_(get_(x, 0))))",2B,0.0,1.0
222,"else_(balance_(x, 2), else_(streak_(x, 2), else_(balance_(x, 4), else_(patternCont_(x), invert_(get_(x, 0))))))",2B,1.0,0.0
223,"else_(conform_(x, 2), get_(x, 0))",2B,0.0,1.0
224,"invert_(get_(x, 7))",2B,0.0,0.0
225,"get_(x, 7)",2B,0.0,0.0
226,"else_(patternCont_(x), else_(balance_(x, 4), get_(x, 7)))",2B,0.7,0.0
227,"else_(conform_(x, 4), invert_(get_(x, 7)))",2B,0.0,1.0
228,"else_(patternCont_(x), else_(balance_(x, 3), '1'))",2B,0.7,0.0
229,"get_(x, 7)",2B,0.0,0.0
230,'1',2B,0.0,0.0
231,"else_(conform_(x, 3), '1')",2B,0.0,1.0
232,"get_(x, 0)",2B,0.0,0.0
233,"else_(conform_(x, 4), '1')",2B,0.0,1.0
234,"else_(balance_(x, 4), '1')",2B,1.0,0.0
235,"else_(balance_(x, 3), invert_(get_(x, 7)))",2B,1.0,0.0
236,"else_(balance_(x, 4), invert_(get_(x, 7)))",2B,1.0,0.0
237,"else_(conform_(x, 4), else_(patternCont_(x), '0'))",2B,0.0,1.0
238,"else_(balance_(x, 2), else_(conform_(x, 3), else_(patternCont_(x), get_(x, 7))))",2B,1.0,0.7
239,"else_(conform_(x, 2), '1')",2B,0.0,1.0
240,"else_(balance_(x, 4), get_(x, 7))",2B,1.0,0.0
241,"else_(patternCont_(x), else_(balance_(x, 4), '1'))",2B,0.7,0.0
242,"else_(streak_(x, 2), else_(balance_(x, 2), else_(conform_(x, 3), '1')))",2B,0.7,0.48999999999999994
243,'1',2B,0.0,0.0
244,"else_(conform_(x, 2), '1')",2B,0.0,1.0
245,"else_(balance_(x, 3), '1')",2B,1.0,0.0
246,"invert_(get_(x, 7))",2B,0.0,0.0
247,"else_(conform_(x, 3), '0')",2B,0.0,1.0
248,"else_(conform_(x, 3), else_(patternCont_(x), invert_(get_(x, 0))))",2B,0.0,1.0
249,"else_(balance_(x, 3), else_(patternCont_(x), '0'))",2B,1.0,0.0
250,"else_(conform_(x, 4), else_(patternCont_(x), invert_(get_(x, 0))))",2B,0.0,1.0
251,"else_(balance_(x, 4), invert_(get_(x, 7)))",2B,1.0,0.0
