p_id,posterior,prior,likelihood,rule
7,-32.45807723130669,-9.416378455387454,-23.041698775919237,"""lambda x: else_(balance_(x, 3), else_(patternCont_(x), invert_(get_(x, 7))))"""
7,-32.45807723130668,-9.416378455387454,-23.04169877591923,"""lambda x: else_(balance_(x, 4), else_(patternCont_(x), invert_(get_(x, 7))))"""
7,-32.45807723130668,-9.416378455387454,-23.04169877591923,"""lambda x: else_(patternCont_(x), else_(balance_(x, 4), invert_(get_(x, 7))))"""
7,-29.685488509066907,-6.643789733147672,-23.041698775919237,"""lambda x: else_(balance_(x, 3), invert_(get_(x, 7)))"""
7,-29.6854885090669,-6.643789733147672,-23.04169877591923,"""lambda x: else_(balance_(x, 4), invert_(get_(x, 7)))"""
8,-58.254535902739576,-12.188967177627235,-46.06556872511234,"""lambda x: else_(patternCont_(x), else_(balance_(x, 4), else_(patternCont_(x), get_(x, 7))))"""
8,-58.254535902739576,-12.188967177627235,-46.06556872511234,"""lambda x: else_(patternCont_(x), else_(patternCont_(x), else_(balance_(x, 4), '0')))"""
8,-58.254535902739576,-12.188967177627235,-46.06556872511234,"""lambda x: else_(balance_(x, 4), else_(patternCont_(x), else_(patternCont_(x), get_(x, 7))))"""
8,-58.254535902739576,-12.188967177627235,-46.06556872511234,"""lambda x: else_(patternCont_(x), else_(patternCont_(x), else_(balance_(x, 3), '0')))"""
8,-55.481947180499795,-9.416378455387454,-46.06556872511234,"""lambda x: else_(patternCont_(x), else_(balance_(x, 3), '0'))"""
8,-55.481947180499795,-9.416378455387454,-46.06556872511234,"""lambda x: else_(patternCont_(x), else_(balance_(x, 4), '0'))"""
8,-55.481947180499795,-9.416378455387454,-46.06556872511234,"""lambda x: else_(balance_(x, 4), else_(patternCont_(x), get_(x, 7)))"""
8,-55.481947180499795,-9.416378455387454,-46.06556872511234,"""lambda x: else_(balance_(x, 3), else_(patternCont_(x), '0'))"""
8,-55.481947180499795,-9.416378455387454,-46.06556872511234,"""lambda x: else_(balance_(x, 4), else_(patternCont_(x), '0'))"""
8,-55.481947180499795,-9.416378455387454,-46.06556872511234,"""lambda x: else_(patternCont_(x), else_(balance_(x, 4), get_(x, 7)))"""
9,-33.844371592426576,-10.802672816507345,-23.041698775919233,"""lambda x: else_(conform_(x, 4), else_(conform_(x, 4), '1'))"""
9,-33.844371592426576,-10.802672816507345,-23.041698775919233,"""lambda x: else_(conform_(x, 3), else_(conform_(x, 4), invert_(get_(x, 7))))"""
9,-32.45807723130669,-9.416378455387454,-23.041698775919233,"""lambda x: else_(patternCont_(x), else_(conform_(x, 4), invert_(get_(x, 7))))"""
9,-32.45807723130669,-9.416378455387454,-23.041698775919233,"""lambda x: else_(patternCont_(x), else_(conform_(x, 4), invert_(get_(x, 0))))"""
9,-32.45807723130669,-9.416378455387454,-23.041698775919233,"""lambda x: else_(patternCont_(x), else_(conform_(x, 4), '1'))"""
9,-32.45807723130669,-9.416378455387454,-23.041698775919233,"""lambda x: else_(conform_(x, 4), else_(patternCont_(x), invert_(get_(x, 0))))"""
9,-32.45807723130669,-9.416378455387454,-23.041698775919233,"""lambda x: else_(conform_(x, 4), else_(patternCont_(x), '1'))"""
9,-32.45807723130669,-9.416378455387454,-23.041698775919233,"""lambda x: else_(conform_(x, 4), else_(patternCont_(x), invert_(get_(x, 7))))"""
9,-29.685488509066907,-6.643789733147672,-23.041698775919233,"""lambda x: else_(conform_(x, 4), '1')"""
9,-29.685488509066907,-6.643789733147672,-23.041698775919233,"""lambda x: else_(conform_(x, 4), invert_(get_(x, 7)))"""
10,-61.02712462497935,-14.961555899867017,-46.065568725112335,"""lambda x: else_(conform_(x, 2), else_(balance_(x, 2), else_(balance_(x, 3), '0')))"""
10,-61.02712462497935,-14.961555899867017,-46.065568725112335,"""lambda x: else_(conform_(x, 1), else_(conform_(x, 2), else_(balance_(x, 3), '0')))"""
10,-61.02712462497935,-14.961555899867017,-46.065568725112335,"""lambda x: else_(conform_(x, 2), else_(conform_(x, 1), else_(balance_(x, 3), '0')))"""
10,-61.02712462497935,-14.961555899867017,-46.065568725112335,"""lambda x: else_(balance_(x, 1), else_(conform_(x, 2), else_(balance_(x, 3), '0')))"""
10,-61.02712462497935,-14.961555899867017,-46.065568725112335,"""lambda x: else_(conform_(x, 2), else_(balance_(x, 3), else_(conform_(x, 2), '0')))"""
10,-61.02712462497935,-14.961555899867017,-46.065568725112335,"""lambda x: else_(conform_(x, 2), else_(conform_(x, 2), else_(balance_(x, 3), '0')))"""
10,-61.02712462497935,-14.961555899867017,-46.065568725112335,"""lambda x: else_(conform_(x, 2), else_(balance_(x, 3), else_(conform_(x, 3), '0')))"""
10,-61.02712462497935,-14.961555899867017,-46.065568725112335,"""lambda x: else_(conform_(x, 2), else_(balance_(x, 3), else_(conform_(x, 1), '0')))"""
10,-56.868241541619696,-10.802672816507345,-46.06556872511235,"""lambda x: else_(conform_(x, 2), else_(balance_(x, 3), get_(x, 7)))"""
10,-56.86824154161968,-10.802672816507345,-46.065568725112335,"""lambda x: else_(conform_(x, 2), else_(balance_(x, 3), '0'))"""
11,-25.10502534006981,-13.575261538747126,-11.52976380132268,"""lambda x: else_(conform_(x, 4), else_(patternCont_(x), else_(balance_(x, 1), '0')))"""
11,-25.10502534006981,-13.575261538747126,-11.52976380132268,"""lambda x: else_(conform_(x, 4), else_(balance_(x, 1), else_(patternCont_(x), '0')))"""
11,-25.10502534006981,-13.575261538747126,-11.52976380132268,"""lambda x: else_(conform_(x, 4), else_(patternCont_(x), else_(conform_(x, 2), '0')))"""
11,-25.10502534006981,-13.575261538747126,-11.52976380132268,"""lambda x: else_(conform_(x, 4), else_(patternCont_(x), else_(balance_(x, 4), '0')))"""
11,-25.10502534006981,-13.575261538747126,-11.52976380132268,"""lambda x: else_(conform_(x, 4), else_(balance_(x, 3), else_(patternCont_(x), '0')))"""
11,-23.718730978949914,-12.188967177627235,-11.52976380132268,"""lambda x: else_(patternCont_(x), else_(patternCont_(x), else_(conform_(x, 4), '0')))"""
11,-23.718730978949914,-12.188967177627235,-11.52976380132268,"""lambda x: else_(patternCont_(x), else_(conform_(x, 4), else_(patternCont_(x), '0')))"""
11,-23.718730978949914,-12.188967177627235,-11.52976380132268,"""lambda x: else_(conform_(x, 4), else_(patternCont_(x), else_(patternCont_(x), '0')))"""
11,-20.946142256710132,-9.416378455387454,-11.52976380132268,"""lambda x: else_(patternCont_(x), else_(conform_(x, 4), '0'))"""
11,-20.946142256710132,-9.416378455387454,-11.52976380132268,"""lambda x: else_(conform_(x, 4), else_(patternCont_(x), '0'))"""
12,-52.28777837262258,-17.734144622106797,-34.553633750515786,"""lambda x: else_(conform_(x, 2), else_(balance_(x, 3), else_(conform_(x, 4), else_(patternCont_(x), get_(x, 0)))))"""
12,-52.28777837262258,-17.734144622106797,-34.553633750515786,"""lambda x: else_(conform_(x, 2), else_(patternCont_(x), else_(balance_(x, 3), else_(conform_(x, 4), invert_(get_(x, 7))))))"""
12,-52.28777837262258,-17.734144622106797,-34.553633750515786,"""lambda x: else_(conform_(x, 2), else_(balance_(x, 3), else_(patternCont_(x), else_(conform_(x, 4), invert_(get_(x, 7))))))"""
12,-52.28777837262258,-17.734144622106797,-34.553633750515786,"""lambda x: else_(conform_(x, 2), else_(balance_(x, 3), else_(conform_(x, 4), else_(patternCont_(x), invert_(get_(x, 7))))))"""
12,-52.28777837262258,-17.734144622106797,-34.553633750515786,"""lambda x: else_(patternCont_(x), else_(conform_(x, 2), else_(balance_(x, 3), else_(conform_(x, 4), invert_(get_(x, 7))))))"""
12,-52.28777837262258,-17.734144622106797,-34.553633750515786,"""lambda x: else_(patternCont_(x), else_(conform_(x, 2), else_(balance_(x, 3), else_(conform_(x, 4), get_(x, 0)))))"""
12,-52.28777837262258,-17.734144622106797,-34.553633750515786,"""lambda x: else_(conform_(x, 2), else_(patternCont_(x), else_(balance_(x, 3), else_(conform_(x, 4), get_(x, 0)))))"""
12,-52.28777837262258,-17.734144622106797,-34.553633750515786,"""lambda x: else_(conform_(x, 2), else_(balance_(x, 3), else_(patternCont_(x), else_(conform_(x, 4), get_(x, 0)))))"""
12,-49.5151896503828,-14.961555899867017,-34.553633750515786,"""lambda x: else_(conform_(x, 2), else_(balance_(x, 3), else_(conform_(x, 4), get_(x, 0))))"""
12,-49.5151896503828,-14.961555899867017,-34.553633750515786,"""lambda x: else_(conform_(x, 2), else_(balance_(x, 3), else_(conform_(x, 4), invert_(get_(x, 7)))))"""
13,-7.221234347809216,-7.203405521083095,-0.017828826726120947,"""lambda x: else_(streak_(x, 1), '1')"""
13,-7.221234347809216,-7.203405521083095,-0.017828826726120947,"""lambda x: else_(streak_(x, 5), '1')"""
13,-7.221234347809216,-7.203405521083095,-0.017828826726120947,"""lambda x: else_(streak_(x, 2), '1')"""
13,-7.221234347809216,-7.203405521083095,-0.017828826726120947,"""lambda x: else_(streak_(x, 4), '1')"""
13,-7.221234347809216,-7.203405521083095,-0.017828826726120947,"""lambda x: else_(streak_(x, 3), '1')"""
13,-7.221234347809216,-7.203405521083095,-0.017828826726120947,"""lambda x: else_(streak_(x, 0), '1')"""
13,-6.661618559873793,-6.643789733147672,-0.017828826726120947,"""lambda x: else_(conform_(x, 1), '1')"""
13,-6.661618559873793,-6.643789733147672,-0.017828826726120947,"""lambda x: else_(conform_(x, 2), '1')"""
13,-6.661618559873793,-6.643789733147672,-0.017828826726120947,"""lambda x: else_(balance_(x, 1), '1')"""
13,-2.5027354765141214,-2.4849066497880004,-0.017828826726120947,"""lambda x: '1'"""
14,-59.64083026385947,-13.575261538747126,-46.06556872511234,"""lambda x: else_(balance_(x, 3), else_(conform_(x, 3), else_(patternCont_(x), '1')))"""
14,-59.64083026385947,-13.575261538747126,-46.06556872511234,"""lambda x: else_(conform_(x, 1), else_(patternCont_(x), else_(balance_(x, 3), '1')))"""
14,-59.64083026385947,-13.575261538747126,-46.06556872511234,"""lambda x: else_(balance_(x, 3), else_(conform_(x, 2), else_(patternCont_(x), '1')))"""
14,-59.64083026385947,-13.575261538747126,-46.06556872511234,"""lambda x: else_(balance_(x, 3), else_(patternCont_(x), else_(conform_(x, 1), '1')))"""
14,-59.64083026385947,-13.575261538747126,-46.06556872511234,"""lambda x: else_(balance_(x, 3), else_(conform_(x, 1), else_(patternCont_(x), '1')))"""
14,-58.254535902739576,-12.188967177627235,-46.06556872511234,"""lambda x: else_(patternCont_(x), else_(balance_(x, 3), else_(patternCont_(x), '1')))"""
14,-58.254535902739576,-12.188967177627235,-46.06556872511234,"""lambda x: else_(patternCont_(x), else_(patternCont_(x), else_(balance_(x, 3), '1')))"""
14,-58.254535902739576,-12.188967177627235,-46.06556872511234,"""lambda x: else_(balance_(x, 3), else_(patternCont_(x), else_(patternCont_(x), '1')))"""
14,-55.481947180499795,-9.416378455387454,-46.06556872511234,"""lambda x: else_(patternCont_(x), else_(balance_(x, 3), '1'))"""
14,-55.481947180499795,-9.416378455387454,-46.06556872511234,"""lambda x: else_(balance_(x, 3), else_(patternCont_(x), '1'))"""
15,-10.820501643233465,-10.802672816507345,-0.017828826726120947,"""lambda x: else_(balance_(x, 4), else_(balance_(x, 4), invert_(get_(x, 7))))"""
15,-10.820501643233465,-10.802672816507345,-0.017828826726120947,"""lambda x: else_(balance_(x, 4), else_(balance_(x, 2), invert_(get_(x, 7))))"""
15,-10.820501643233465,-10.802672816507345,-0.017828826726120947,"""lambda x: else_(balance_(x, 4), else_(conform_(x, 2), invert_(get_(x, 7))))"""
15,-10.820501643233465,-10.802672816507345,-0.017828826726120947,"""lambda x: else_(balance_(x, 4), else_(conform_(x, 4), invert_(get_(x, 7))))"""
15,-9.434207282113574,-9.416378455387454,-0.017828826726120947,"""lambda x: else_(balance_(x, 4), else_(patternCont_(x), '1'))"""
15,-9.434207282113574,-9.416378455387454,-0.017828826726120947,"""lambda x: else_(patternCont_(x), else_(balance_(x, 4), '1'))"""
15,-9.434207282113574,-9.416378455387454,-0.017828826726120947,"""lambda x: else_(balance_(x, 4), else_(patternCont_(x), invert_(get_(x, 7))))"""
15,-9.434207282113574,-9.416378455387454,-0.017828826726120947,"""lambda x: else_(patternCont_(x), else_(balance_(x, 4), invert_(get_(x, 7))))"""
15,-6.661618559873793,-6.643789733147672,-0.017828826726120947,"""lambda x: else_(balance_(x, 4), invert_(get_(x, 7)))"""
